date,season,neutral,playoff,team1,team2,elo1,elo2,score1,score2,elo_prob1,result1
1926-10-10,1926,0,0,RAC,MIL,1404.926,1389.838,2,13,0.6233587688425656,0.0
1926-10-10,1926,0,0,CHI,NYG,1579.689,1512.463,7,0,0.6520096452274807,1.0
1926-10-10,1926,0,0,AKR,CBD,1495.962,1446.813,0,0,0.6473031474368685,0.5
1926-10-10,1926,0,0,GB,ARI,1555.977,1599.554,7,13,0.5152820997326264,0.0
1926-10-16,1926,0,0,FYJ,NYG,1579.694,1499.972,6,0,0.6863935447019951,1.0
1926-10-16,1926,0,0,BRL,PTB,1310.89,1629.083,0,21,0.1851047252638991,0.0
1926-10-16,1926,0,0,COL,KCB,1410.315,1399.113,0,9,0.6082829773050232,0.0
1926-10-17,1926,0,0,NYG,FYJ,1488.908,1590.758,0,6,0.4370882590257214,0.0
1926-10-17,1926,0,0,DAY,BFF,1407.506,1406.762,6,7,0.5831407645565669,0.0
1926-10-17,1926,0,0,PTB,BRL,1639.553,1300.42,14,0,0.9056365545171555,1.0
1926-10-17,1926,0,0,ARI,CHI,1620.414,1592.18,0,16,0.6273670761156757,0.0
1926-10-17,1926,0,0,RAC,DUL,1373.297,1516.425,0,21,0.40031682178143585,0.0
1926-10-17,1926,0,0,CBD,LAB,1451.65,1326.369,13,16,0.7451300982865309,0.0
1926-10-17,1926,0,0,DPN,LOU,1462.368,1295.157,47,0,0.7785013385451163,1.0
1926-10-17,1926,0,0,GB,MIL,1535.116,1421.467,7,0,0.7307652084900318,1.0
1926-10-23,1926,0,0,BRL,COL,1296.35,1381.314,20,12,0.46249064287597785,1.0
1926-10-23,1926,0,0,FYJ,CBD,1607.874,1428.906,17,0,0.790262488409702,1.0
1926-10-24,1926,0,0,DPN,AKR,1476.938,1491.125,25,0,0.5527378113892402,1.0
1926-10-24,1926,0,0,HRT,BRL,1336.745,1319.796,16,6,0.6048014859733628,1.0
1926-10-24,1926,0,0,CHI,DUL,1629.52,1539.674,24,6,0.6996966739532304,1.0
1926-10-24,1926,0,0,NYG,KCB,1471.791,1428.114,13,0,0.64972627134357,1.0
1926-10-24,1926,0,0,BFF,LAB,1415.243,1349.114,0,0,0.6701790287368726,0.5
1926-10-24,1926,0,0,PRV,PTB,1514.8,1643.624,14,0,0.40403606547068643,1.0
1926-10-24,1926,0,0,MIL,ARI,1411.335,1583.074,2,3,0.33530231224784574,0.0
1926-10-24,1926,0,0,GB,RAC,1545.248,1350.048,35,0,0.8009233157785287,1.0
1926-10-30,1926,0,0,FYJ,PRV,1618.132,1547.756,6,7,0.6702164033209662,0.0
1926-10-31,1926,0,0,HRT,KCB,1354.509,1410.585,2,7,0.5159355627949118,0.0
1926-10-31,1926,0,0,ARI,GB,1587.715,1556.96,0,3,0.6251623207303192,0.0
1926-10-31,1926,0,0,PTB,BFF,1610.668,1409.747,14,0,0.8152339406765561,1.0
1926-10-31,1926,0,0,PRV,FYJ,1557.883,1608.005,3,6,0.5163882594035442,0.0
1926-10-31,1926,0,0,MIL,DUL,1406.694,1523.674,6,7,0.4171435273988793,0.0
1926-10-31,1926,0,0,CHI,AKR,1645.52,1463.904,17,0,0.7833227430355,1.0
1926-10-31,1926,0,0,DPN,CBD,1504.159,1418.648,6,0,0.688434820393418,1.0
1926-11-02,1926,0,0,NYG,CBD,1489.32,1407.866,7,7,0.6858231209273141,0.5
1926-11-06,1926,0,0,FYJ,ARI,1622.56,1569.325,33,7,0.6635939436819076,1.0
1926-11-07,1926,0,0,NYG,ARI,1483.248,1548.299,20,0,0.5011128330486316,1.0
